conversion 	 Temp /K
0.587   	363.142825
0.592   	363.183204
0.597   	363.225998
0.602   	363.271236
0.607   	363.318951
0.612   	363.369174
0.617   	363.421942
0.622   	363.477292
0.627   	363.535265
0.632   	363.595903
0.637   	363.659251
0.642   	363.725357
0.647   	363.794270
0.652   	363.866045
0.657   	363.940738
0.662   	364.018407
0.667   	364.099117
0.672   	364.182933
0.677   	364.269927
0.682   	364.360171
0.687   	364.453744
0.692   	364.550730
0.697   	364.651217
0.701   	364.755296
0.706   	364.863066
0.711   	364.974631
0.716   	365.090101
0.721   	365.209592
0.726   	365.333228
0.731   	365.461141
0.736   	365.593468
0.741   	365.730359
0.746   	365.871970
0.751   	366.018469
0.756   	366.170035
0.761   	366.326856
0.766   	366.489136
0.771   	366.657093
0.776   	366.830957
0.781   	367.010979
0.786   	367.197423
0.791   	367.390577
0.796   	367.590750
0.801   	367.798272
0.806   	368.013502
0.811   	368.236829
0.816   	368.468671
0.821   	368.709484
0.826   	368.959765
0.831   	369.220052
0.836   	369.490936
0.841   	369.773065
0.846   	370.067147
0.851   	370.373966
0.856   	370.694385
0.861   	371.029363
0.866   	371.379965
0.871   	371.747380
0.876   	372.132943
0.881   	372.538154
0.886   	372.964713
0.891   	373.414549
0.896   	373.889871
0.900   	374.393218
0.905   	374.927531
0.910   	375.496239
0.915   	376.103377
0.920   	376.753731
0.925   	377.453039
0.930   	378.208257
0.935   	379.027929
0.940   	379.922709
0.945   	380.906103
0.950   	381.995590
0.955   	383.214332
0.960   	384.593912
0.965   	386.178960
0.970   	388.035410
0.975   	390.266526
0.980   	393.047400
0.985   	396.711189
0.990   	402.020725
0.995   	411.484968

